symbol,name
20MICRONS,20 Microns Limited
21STCENMGM,21st Century Management Services Limited
360ONE,360 ONE WAM LIMITED
3BBLACKBIO,3B Blackbio Dx Limited
3MINDIA,3M India Limited
3PLAND,3P Land Holdings Limited
5PAISA,5Paisa Capital Limited
63MOONS,63 moons technologies limited
A2ZINFRA,A2Z Infra Engineering Limited
AAATECH,AAA Technologies Limited
AADHARHFC,Aadhar Housing Finance Limited
AAKASH,Aakash Exploration Services Limited
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
AARON,Aaron Industries Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
AARTIPHARM,Aarti Pharmalabs Limited
AARVI,Aarvi Encon Limited
AASTHA,Aastha Spintex Limited
AAVAS,Aavas Financiers Limited
ABANSENT,Abans Enterprises Limited
ABB,ABB India Limited
ABBOTINDIA,Abbott India Limited
ABCAPITAL,Aditya Birla Capital Limited
ABCOTS,A B Cotspin India Limited
ABDL,Allied Blenders and Distillers Limited
ABFRL,Aditya Birla Fashion and Retail Limited
ABLBL,Aditya Birla Lifestyle Brands Limited
ABMKNO,ABM Knowledgeware Limited
ABREL,Aditya Birla Real Estate Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
ACC,ACC Limited
ACCELYA,Accelya Solutions India Limited
ACE,Action Construction Equipment Limited
ACEINTEG,Ace Integrated Solutions Limited
ACGL,Automobile Corporation of Goa Limited
ACI,Archean Chemical Industries Limited
ACL,Andhra Cements Limited
ACMESOLAR,Acme Solar Holdings Limited
ACUTAAS,Acutaas Chemicals Limited
ADANIENSOL,Adani Energy Solutions Limited
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ADDIND,Addi Industries Limited
ADFFOODS,ADF Foods Limited
ADL,Archidply Decor Limited
ADOR,Ador Welding Limited
ADROITINFO,Adroit Infotech Limited
ADSL,Allied Digital Services Limited
ADVAIT,Advait Energy Transitions Limited
ADVANCE,Advance Agrolife Limited
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
ADVENTHTL,Advent Hotels International Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
ADVIKCA,Advik Capital Limited
AEGISLOG,Aegis Logistics Limited
AEGISVOPAK,Aegis Vopak Terminals Limited
AEPL,Artemis Electricals and Projects Limited
AEQUS,Aequs Limited
AEROENTER,Aeroflex Enterprises Limited
AEROFLEX,Aeroflex Industries Limited
AERONEU,Aeroflex Neu Limited
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited
AETHER,Aether Industries Limited
AFCONS,Afcons Infrastructure Limited
